MatchID,TEAMID,COUNTRY,SEASON,MATCHDATE,TEAMID,TEAMAVG,TEAMMAX,TEAMMIN
1084,1,1, u'2012/2013', u'2012-12-08 00:00:00',1773,27,32,22
1085,1,1, u'2012/2013', u'2012-08-04 00:00:00',8635,28,32,24
1085,1,1, u'2012/2013', u'2012-08-04 00:00:00',9993,27,32,19
1086,1,1, u'2012/2013', u'2012-08-04 00:00:00',9986,25,28,22
1086,1,1, u'2012/2013', u'2012-08-04 00:00:00',8342,26,33,20
1087,1,1, u'2012/2013', u'2012-08-05 00:00:00',10000,26,31,18
1087,1,1, u'2012/2013', u'2012-08-05 00:00:00',9991,25,30,19
1088,1,1, u'2012/2013', u'2012-08-05 00:00:00',1773,27,32,21
1088,1,1, u'2012/2013', u'2012-08-05 00:00:00',9987,26,31,21
1089,1,1, u'2012/2013', u'2012-08-04 00:00:00',9994,27,34,19
1089,1,1, u'2012/2013', u'2012-08-04 00:00:00',9998,28,31,26
1090,1,1, u'2012/2013', u'2012-08-03 00:00:00',9989,25,29,19
1090,1,1, u'2012/2013', u'2012-08-03 00:00:00',9985,25,30,21
1091,1,1, u'2012/2013', u'2012-08-04 00:00:00',8475,27,34,22
1091,1,1, u'2012/2013', u'2012-08-04 00:00:00',8203,26,33,18
1092,1,1, u'2012/2013', u'2012-08-04 00:00:00',9984,28,34,20
1092,1,1, u'2012/2013', u'2012-08-04 00:00:00',8571,25,31,20
1093,1,1, u'2012/2013', u'2012-12-15 00:00:00',8342,27,34,18
1093,1,1, u'2012/2013', u'2012-12-15 00:00:00',9998,27,31,21
1094,1,1, u'2012/2013', u'2012-12-16 00:00:00',8635,25,31,18
1094,1,1, u'2012/2013', u'2012-12-16 00:00:00',1773,27,32,21
1095,1,1, u'2012/2013', u'2012-12-15 00:00:00',9986,25,28,21
1095,1,1, u'2012/2013', u'2012-12-15 00:00:00',9993,26,31,19
1096,1,1, u'2012/2013', u'2012-12-16 00:00:00',10000,25,32,18
1096,1,1, u'2012/2013', u'2012-12-16 00:00:00',9987,26,31,21
